SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533602,LESHAIND    ,X ,Q,5.20,5.20,5.20,5.20,5.20,5.20,1,2,10.00,
533605,PRAKASH CON ,B ,Q,4.10,4.49,4.10,4.31,4.31,4.20,17,19760,82703.00,
533608,RDB RASAYAN ,X ,Q,66.00,72.00,64.70,65.35,64.90,65.45,133,35979,2351670.00,
533629,TIJARIA PPL ,B ,Q,22.45,23.30,22.00,22.35,22.45,22.45,47,14723,329231.00,
533632,ONELIFE CAP ,B ,Q,13.99,14.00,13.50,13.50,13.50,13.34,4,1402,19424.00,
533638,FLEXITUFF   ,T ,Q,48.50,49.00,47.10,47.10,47.10,47.00,6,326,15759.00,
533644,UJAAS       ,B ,Q,8.01,8.36,8.01,8.23,8.21,7.99,59,13287,108302.00,
533655,TRIVENITURB ,B ,Q,116.90,117.45,115.30,117.00,117.00,116.10,12,1425,166256.00,
533676,INDO THAI   ,B ,Q,35.40,37.00,35.40,37.00,37.00,34.45,114,6600,239659.00,
533704,ESSAR SHIP  ,B ,Q,12.50,12.57,12.50,12.57,12.57,12.30,2,72,904.00,
533758,APL APOLLO  ,A ,Q,1300.00,1320.00,1280.00,1298.50,1320.00,1283.30,80,527,681554.00,
533761,GPT INFRA   ,B ,Q,58.00,58.00,54.50,54.75,54.50,57.15,11,382,21327.00,
533896,FERVENTSYN  ,X ,Q,24.95,26.00,24.90,24.90,24.90,25.00,5,120,3008.00,
533982,TERASOFTWARE,B ,Q,29.85,30.35,29.00,30.35,30.35,29.85,9,552,16383.00,
534060,PMCFIN      ,X ,Q,0.46,0.47,0.44,0.46,0.46,0.45,106,452765,207685.00,
534076,ORIENT REF  ,B ,Q,237.45,244.00,236.40,241.20,241.20,234.75,144,5915,1419012.00,
534091,MCX LTD     ,A ,Q,703.00,730.50,703.00,725.05,725.05,695.95,1681,65778,47453035.00,
534139,SCHNEIDER   ,B ,Q,103.00,107.40,103.00,103.50,103.40,102.30,179,6796,708285.00,
534184,NORL        ,B ,Q,1.15,1.15,1.10,1.10,1.13,1.11,62,44697,49702.00,
534309,NBCC        ,A ,Q,51.00,52.90,50.25,52.25,52.25,50.15,2549,835397,43479241.00,
534312,MT EDUCARE  ,B ,Q,55.30,56.40,55.30,56.00,56.35,53.75,33,16561,923087.00,
534328,HEXATRADEX  ,T ,Q,27.05,27.95,27.05,27.95,27.95,27.95,2,26,712.00,
534338,MAXHEIGHTS  ,X ,Q,24.75,24.75,23.90,23.90,23.90,24.30,2,35,862.00,
